Item_Name,Hero_Name,Item_Type
Blade of the Dark Ancients,Sven,Equipment
Blade of the Fiend Cleaver,Sven,Equipment
Breath of the Iron Drakken,Sven,Equipment
Claive of Unyielding Stone,Sven,Equipment
Cleaver of Might,Sven,Equipment
Demon Claive,Sven,Equipment
Furious Rune,Sven,Equipment
Grand Blade of the Demigod,Sven,Equipment
Great Sword of the Battlehawk,Sven,Equipment
Great Sword of the Rhinoceros Order,Sven,Equipment
Greatsword of the Cyclopean Marauder,Sven,Equipment
Greatsword of the Stormwrought Arbiter,Sven,Equipment
Luminous Edge,Sven,Equipment
Meranth Dragoon Finblade,Sven,Equipment
Meranth Executioner's Blade,Sven,Equipment
Radiant Claive,Sven,Equipment
Rhuis Tuning-Fork,Sven,Equipment
Ringblade,Sven,Equipment
Rogue Omen,Sven,Equipment
Ruling Sword,Sven,Equipment
Shattered Greatsword,Sven,Equipment
Spike of Frostbite,Sven,Equipment
Stalwart Sentinel,Sven,Equipment
Sven's Revenge,Sven,Equipment
Sword of Rising Fury,Sven,Equipment
Sword of the Flameguard,Sven,Equipment
Sword of the Freelancer,Sven,Equipment
Sword of the Mono Militis,Sven,Equipment
Sword of the Warrior's Retribution,Sven,Equipment
The Fearmaker,Sven,Equipment
Vigil Triumph,Sven,Equipment
Weighted Claive,Sven,Equipment
Wuldastron the Twin-Blade of Giants,Sven,Equipment
Armature of the Belligerent Ram Helm,Sven,Equipment
Commander's Helm of the Flameguard,Sven,Equipment
Cyclopean Helm of the Mono Militis,Sven,Equipment
Gaze of the Cyclopean Marauder,Sven,Equipment
Greathelm of the Chiseled Guard,Sven,Equipment
Helm of Rising Fury,Sven,Equipment
Helm of the Battlehawk,Sven,Equipment
Helm of the Fiend Cleaver,Sven,Equipment
Helm of the Flameguard,Sven,Equipment
Helm of the Rhinoceros Order,Sven,Equipment
Helm of the Stormwrought Arbiter,Sven,Equipment
Helm of the Warrior's Retribution,Sven,Equipment
Helmet of the Iron Drakken,Sven,Equipment
Mask of the Freelancer,Sven,Equipment
Meranth Dragoon Helm,Sven,Equipment
Tayrnhelm of the Swordmaster,Sven,Equipment
The Rogue Helm,Sven,Equipment
Armature of the Belligerent Ram Shoulder,Sven,Equipment
Commander's Pauldron of the Flameguard,Sven,Equipment
Dressed Pauldron of the Flameguard,Sven,Equipment
Dressed Pauldron of the Mono Militis,Sven,Equipment
Fluted Guard of the Swordmaster,Sven,Equipment
Meranth Dragoon Pauldrons,Sven,Equipment
Pauldron of the Chiseled Guard,Sven,Equipment
Pauldron of the Cyclopean Marauder,Sven,Equipment
Pauldron of the Fiend Cleaver,Sven,Equipment
Pauldron of the Iron Drakken,Sven,Equipment
Pauldron of the Stormwrought Arbiter,Sven,Equipment
Pauldron of the Warrior's Retribution,Sven,Equipment
Pauldrons of Rising Fury,Sven,Equipment
Pauldrons of the Battlehawk,Sven,Equipment
Pauldrons of the Rhinoceros Order,Sven,Equipment
Shoulderguard of the Freelancer,Sven,Equipment
The Shrug Irons,Sven,Equipment
Armature of the Belligerent Ram Pauldron,Sven,Equipment
Beacon of the Cyclopean Marauder,Sven,Equipment
Bulwark of the Rogue Knight,Sven,Equipment
Cape of Rising Fury,Sven,Equipment
Cape of the Flameguard,Sven,Equipment
Cape of the Stormwrought Arbiter,Sven,Equipment
Cape of the Warrior's Retribution,Sven,Equipment
Chest Plate of the Rhinoceros Order,Sven,Equipment
Commander's Cape of the Flameguard,Sven,Equipment
Drape of a Fiend Cleaver,Sven,Equipment
Mantle of the Battlehawk,Sven,Equipment
Meranth Dragoon Armor,Sven,Equipment
Spine Guard Armor,Sven,Equipment
Armature of the Belligerent Ram Belt,Sven,Equipment
Belt of Outcast Honor,Sven,Equipment
Belt of the Battlehawk,Sven,Equipment
Belt of the Fiend Cleaver,Sven,Equipment
Belt of the Iron Drakken,Sven,Equipment
Belt of the Rhinoceros Order,Sven,Equipment
Belt of the Stormwrought Arbiter,Sven,Equipment
Belt of the Warrior's Retribution,Sven,Equipment
Commander's Skirt of the Flameguard,Sven,Equipment
Fauld of the Cyclopean Marauder,Sven,Equipment
Faulds of Rising Fury,Sven,Equipment
Girth of the Swordmaster,Sven,Equipment
Meranth Dragoon Belt,Sven,Equipment
Pantaloons of the Freelancer,Sven,Equipment
Skirt of the Flameguard,Sven,Equipment
Tassets of the Chiseled Guard,Sven,Equipment
Armature of the Belligerent Ram Glove,Sven,Equipment
Armblade of the Chiseled Guard,Sven,Equipment
Bracers of the Stormwrought Arbiter,Sven,Equipment
Commander's Gauntlet of the Flameguard,Sven,Equipment
Gauntlet of the Cyclopean Marauder,Sven,Equipment
Gauntlet of the Fiend Cleaver,Sven,Equipment
Gauntlet of the Iron Drakken,Sven,Equipment
Gauntlet of the Rhinoceros Order,Sven,Equipment
Gauntlet of the Warrior's Retribution,Sven,Equipment
Gauntlets of Rising Fury,Sven,Equipment
Grip of the Swordmaster,Sven,Equipment
Meranth Dragoon Shield,Sven,Equipment
Rogue at Arms,Sven,Equipment
Shield of the Battlehawk,Sven,Equipment
Vigil Signet,Sven,Equipment
Kinetic: Free to Fear,Sven,Equipment
Armature of the Belligerent Ram Loading Screen,Sven,Gear
Arms of Rising Fury Loading Screen,Sven,Gear
Cry of the Battlehawk Loading Screen,Sven,Gear
Cyclopean Marauder Loading Screen,Sven,Gear
Forge of Iron Will Loading Screen,Sven,Gear
Meranth Dragoon Loading Screen,Sven,Gear
Mini Heroes Loading Screen,Sven,Gear
Rhinoceros Order Loading Screen,Sven,Gear
Stormwrought Arbiter Loading Screen,Sven,Gear
The Fiend Cleaver Loading Screen,Sven,Gear
The Iron Drakken,Sven,Gear
A Bit of Boat,Tidehunter,Equipment
Aquemerald Blade,Tidehunter,Equipment
Beast-Jaw Bludgeoner,Tidehunter,Equipment
Claddish Cudgel,Tidehunter,Equipment
Conch Cudgel,Tidehunter,Equipment
Femur Thrasher,Tidehunter,Equipment
Hammer Time,Tidehunter,Equipment
Kraken's Bane,Tidehunter,Equipment
Pirate Slayer's Cutlass,Tidehunter,Equipment
Reefcutter,Tidehunter,Equipment
Tidosaurus Club,Tidehunter,Equipment
Weapon of the Frostshard Ascendant,Tidehunter,Equipment
Leashed Rockshark,Tidehunter,Equipment
Naval Mine,Tidehunter,Equipment
Pirate Slayer's Black Flag,Tidehunter,Equipment
Recluse Reef Denizen,Tidehunter,Equipment
Skeletal Catch,Tidehunter,Equipment
Squiddles,Tidehunter,Equipment
Sunken Frostshard,Tidehunter,Equipment
Tidehunter Blink Dagger,Tidehunter,Equipment
Wrecking Ball,Tidehunter,Equipment
Excavator's Decorated Treasure,Tidehunter,Equipment
Excavator's Treasure,Tidehunter,Equipment
Executioner Ray Hood,Tidehunter,Equipment
Floodmask,Tidehunter,Equipment
Golden Floodmask,Tidehunter,Equipment
Head Fins of the Deepweed Drowner,Tidehunter,Equipment
Head of the Frostshard Ascendant,Tidehunter,Equipment
Head-Ache,Tidehunter,Equipment
Headshell of the Drowning Trench,Tidehunter,Equipment
Octopus Hat,Tidehunter,Equipment
Pirate Slayer's Tricorn,Tidehunter,Equipment
Swamp Fins,Tidehunter,Equipment
Tidosaurus Skull Spikes,Tidehunter,Equipment
Wheel of Fortitude,Tidehunter,Equipment
Back Fins of the Deepweed Drowner,Tidehunter,Equipment
Back of the Frostshard Ascendant,Tidehunter,Equipment
Back-Ache,Tidehunter,Equipment
Carapace of the Drowning Trench,Tidehunter,Equipment
Cerebral Support,Tidehunter,Equipment
Dorsal Doom,Tidehunter,Equipment
Kraken Shell (Equipment),Tidehunter,Equipment
Raw Hide,Tidehunter,Equipment
Tidosaurus Vertebral Plates,Tidehunter,Equipment
Belt of the Deepweed Drowner,Tidehunter,Equipment
Belt of the Drowning Trench,Tidehunter,Equipment
Belt of the Frostshard Ascendant,Tidehunter,Equipment
Tidosaurus Tail,Tidehunter,Equipment
Arm Fins of the Deepweed Drowner,Tidehunter,Equipment
Arms of the Frostshard Ascendant,Tidehunter,Equipment
Grip of the Drowning Trench,Tidehunter,Equipment
Pirate Slayer's Bracer,Tidehunter,Equipment
Tidosaurus Arm Scales,Tidehunter,Equipment
Taunt: Backstroke!,Tidehunter,Equipment
Bottom Watcher,Tidehunter,Gear
Deepest Depths,Tidehunter,Gear
Reign of Maelrawn,Tidehunter,Gear
Underwater,Tidehunter,Gear
Announcer: Kunkka & Tidehunter,Tidehunter,Gear
Deepweed Drowner Loading Screen,Tidehunter,Gear
Envisioning Tidehunter Loading Screen,Tidehunter,Gear
Let's Race Loading Screen,Tidehunter,Gear
Mini Heroes Loading Screen,Tidehunter,Gear
Relics of the Drowning Trench Loading Screen,Tidehunter,Gear
Tidosaurus Loading Screen,Tidehunter,Gear
Top Lane (Loading Screen),Tidehunter,Gear
Blade of Flightless Fury,Vengeful_Spirit,Equipment
Dreadhawk Blade,Vengeful_Spirit,Equipment
Katar of Omen's Embrace,Vengeful_Spirit,Equipment
Scree'auk's Talon,Vengeful_Spirit,Equipment
Talon of the Fallen Princess,Vengeful_Spirit,Equipment
Umbral Glaive,Vengeful_Spirit,Equipment
Weapon of the Banished Princess,Vengeful_Spirit,Equipment
Wrath of Echoes,Vengeful_Spirit,Equipment
Crest of Omen's Embrace,Vengeful_Spirit,Equipment
Crown of the Merciless,Vengeful_Spirit,Equipment
Dreadhawk Headdress,Vengeful_Spirit,Equipment
Helm of Echoes,Vengeful_Spirit,Equipment
Helm of the Fallen Princess,Vengeful_Spirit,Equipment
Helmet of Flightless Fury,Vengeful_Spirit,Equipment
Style of the Banished Princess,Vengeful_Spirit,Equipment
Umbral Virtue,Vengeful_Spirit,Equipment
Adornment of Omen's Embrace,Vengeful_Spirit,Equipment
Armor of Flightless Fury,Vengeful_Spirit,Equipment
Cape of the Banished Princess,Vengeful_Spirit,Equipment
Crimson Mournful Reverie,Vengeful_Spirit,Equipment
Dreadhawk Harness,Vengeful_Spirit,Equipment
Mournful Reverie,Vengeful_Spirit,Equipment
Sigil of Echoes,Vengeful_Spirit,Equipment
Umbral Duty,Vengeful_Spirit,Equipment
Wings of the Fallen Princess,Vengeful_Spirit,Equipment
Dreadhawk Leggings,Vengeful_Spirit,Equipment
Greaves of Echoes,Vengeful_Spirit,Equipment
Greaves of Flightless Fury,Vengeful_Spirit,Equipment
Leggings of the Banished Princess,Vengeful_Spirit,Equipment
Legs of the Fallen Princess,Vengeful_Spirit,Equipment
Skirt of Omen's Embrace,Vengeful_Spirit,Equipment
Umbral Skirt,Vengeful_Spirit,Equipment
Taunt: The Royal Raspberry,Vengeful_Spirit,Equipment
Skywrath Sentinel,Vengeful_Spirit,Gear
Scions of the Sky,Vengeful_Spirit,Gear
Ascendant Vengeful Spirit Loading Screen,Vengeful_Spirit,Gear
Blessing of the Crested Umbra Loading Screen,Vengeful_Spirit,Gear
Dreadhawk Armor Loading Screen,Vengeful_Spirit,Gear
Echoes of the Eyrie Loading Screen,Vengeful_Spirit,Gear
Flightless Fury Loading Screen,Vengeful_Spirit,Gear
Mini Heroes Loading Screen,Vengeful_Spirit,Gear
Omen's Embrace Loading Screen,Vengeful_Spirit,Gear
Resentment of the Banished Princess Loading Screen,Vengeful_Spirit,Gear
Scions of the Sky Loading Screen,Vengeful_Spirit,Gear
Vestments of the Fallen Princess Loading Screen,Vengeful_Spirit,Gear
Redwood Arms Set,Windranger,Equipment
Arc of the Northern Wind,Windranger,Equipment
Bloodwood Arc,Windranger,Equipment
Bow of the Battleranger,Windranger,Equipment
Bow of the Oyoloe,Windranger,Equipment
Bow of the Sun Vine,Windranger,Equipment
Bow of Tranquility,Windranger,Equipment
Deadly Featherswing,Windranger,Equipment
Falconside,Windranger,Equipment
Featherfall Bow,Windranger,Equipment
Flowersong,Windranger,Equipment
Gilded Falcon Bow,Windranger,Equipment
Iguana's Bow,Windranger,Equipment
Longbow of the Roving Pathfinder,Windranger,Equipment
Lyralei's Breeze,Windranger,Equipment
Makeshift Hornwood Bow,Windranger,Equipment
Nature's Shortbow,Windranger,Equipment
Peregrine Flight,Windranger,Equipment
Rainmaker,Windranger,Equipment
Song of the Wild Wind,Windranger,Equipment
Sparrowhawk Bow,Windranger,Equipment
Stinger,Windranger,Equipment
Zaru'Kina Protector's Bow,Windranger,Equipment
Barrel Quiver,Windranger,Equipment
Bloodwood Reserve,Windranger,Equipment
Featherfall Quiver,Windranger,Equipment
Featherswing Quiver,Windranger,Equipment
Flowersong Thorns,Windranger,Equipment
Gilded Falcon Quiver,Windranger,Equipment
Iguana's Quiver,Windranger,Equipment
Quiver of Falconside Armor,Windranger,Equipment
Quiver of the Battleranger,Windranger,Equipment
Quiver of the Northern Wind,Windranger,Equipment
Quiver of the Roving Pathfinder,Windranger,Equipment
Quiver of the Wild Wind,Windranger,Equipment
Quiver of Tranquility,Windranger,Equipment
Sparrowhawk Quiver,Windranger,Equipment
Braid of Tranquility,Windranger,Equipment
Circlet of the Northern Wind,Windranger,Equipment
Featherfall Locks,Windranger,Equipment
Featherswing Hair,Windranger,Equipment
Flowersong Beauty,Windranger,Equipment
Gilded Falcon Helm,Windranger,Equipment
Markswoman's Cap,Windranger,Equipment
Mistral Braid,Windranger,Equipment
Raider's Patch,Windranger,Equipment
Sparrowhawk Hood,Windranger,Equipment
Style of the Battleranger,Windranger,Equipment
Style of the Grove,Windranger,Equipment
Style of the Wild Wind,Windranger,Equipment
Tiara of Falconside Armor,Windranger,Equipment
Tricorn of the Roving Pathfinder,Windranger,Equipment
Verdant Coif,Windranger,Equipment
Windweave Headband,Windranger,Equipment
Zaru'Kina Protector's Hair,Windranger,Equipment
Capelet of the Wild Wind,Windranger,Equipment
Featherfall Spaulders,Windranger,Equipment
Featherswing Pauldron,Windranger,Equipment
Flowersong Guard,Windranger,Equipment
Gilded Falcon Wings,Windranger,Equipment
Mantle of the Roving Pathfinder,Windranger,Equipment
Pauldrons of Falconside Armor,Windranger,Equipment
Pauldrons of the Battleranger,Windranger,Equipment
Pauldrons of the Northern Wind,Windranger,Equipment
Sentry of Tranquility,Windranger,Equipment
Shoulderpads of the Falcon,Windranger,Equipment
Sparrowhawk Wings,Windranger,Equipment
Sylvan Vedette,Windranger,Equipment
Zaru'Kina Protector's Pads,Windranger,Equipment
Cape of Falconside Armor,Windranger,Equipment
Cape of the Wind Leaf,Windranger,Equipment
Cloak of the Battleranger,Windranger,Equipment
Cloak of the Northern Wind,Windranger,Equipment
Cloak of Tranquility,Windranger,Equipment
Featherfall Cloak,Windranger,Equipment
Featherswing Cape,Windranger,Equipment
Flowersong Breeze,Windranger,Equipment
Gilded Falcon Cloak,Windranger,Equipment
Scarf of the Roving Pathfinder,Windranger,Equipment
Sparrowhawk Cape,Windranger,Equipment
Sylvan Cascade,Windranger,Equipment
Tail of the Wild Wind,Windranger,Equipment
Zaru'Kina Protector's Cape,Windranger,Equipment
Taunt: You Prefer Arrows?,Windranger,Equipment
Kinetic: Sylvan Cascade!,Windranger,Equipment
Eye of Lyralei,Windranger,Gear
Aria of the Wild Wind,Windranger,Gear
Array of Tranquility Loading Screen,Windranger,Gear
Falconside Armor Loading Screen,Windranger,Gear
Fall of the Year Beast,Windranger,Gear
Featherswing Loading Screen,Windranger,Gear
Flowersong Tempest Loading Screen,Windranger,Gear
Flying Arrow Loading Screen,Windranger,Gear
Mini Heroes Loading Screen,Windranger,Gear
Reap the Whirlwind,Windranger,Gear
Roving Pathfinder Loading Screen,Windranger,Gear
Crook of the Devilish Conjurer,Witch_Doctor,Equipment
Demon Skull Staff,Witch_Doctor,Equipment
Implements of the Outlandish Gourmet,Witch_Doctor,Equipment
Mast of the Vodou Rover,Witch_Doctor,Equipment
Scourge of Twilight's Rest,Witch_Doctor,Equipment
Shambling Trickster Staff,Witch_Doctor,Equipment
Shrunken Head Staff,Witch_Doctor,Equipment
Sigil of the Stormcrow,Witch_Doctor,Equipment
Spider Staff of Purple Nightmare,Witch_Doctor,Equipment
Spiral Staff,Witch_Doctor,Equipment
Staff o' Wicked Badness,Witch_Doctor,Equipment
Staff of Morbific Provision,Witch_Doctor,Equipment
Staff of the Arkturan Talon,Witch_Doctor,Equipment
Staff of the Foreteller's Oath,Witch_Doctor,Equipment
Staff of the Old Doctor,Witch_Doctor,Equipment
Witch Staff,Witch_Doctor,Equipment
Beak of the Stormcrow,Witch_Doctor,Equipment
Beard of the Vodou Rover,Witch_Doctor,Equipment
Dreaded Dreads,Witch_Doctor,Equipment
Hat of the Devilish Conjurer,Witch_Doctor,Equipment
Hat of the Foreteller's Oath,Witch_Doctor,Equipment
Head of Morbific Provision,Witch_Doctor,Equipment
Headdress of the Arkturan Talon,Witch_Doctor,Equipment
Horn Mask,Witch_Doctor,Equipment
Mask o' Wicked Badness,Witch_Doctor,Equipment
Mask of Twilight's Rest,Witch_Doctor,Equipment
Masque of Awaleb,Witch_Doctor,Equipment
Ol' Snaggletooth,Witch_Doctor,Equipment
Shambling Trickster Mask,Witch_Doctor,Equipment
Spider Helm of Purple Nightmare,Witch_Doctor,Equipment
Tribal Megadon Mask,Witch_Doctor,Equipment
Tribal Totem Mask,Witch_Doctor,Equipment
Veil of Fables,Witch_Doctor,Equipment
Vile Carnival Hat,Witch_Doctor,Equipment
Visage of Ribbi'tar,Witch_Doctor,Equipment
Visage of the Outlandish Gourmet,Witch_Doctor,Equipment
Wooden Fetish Mask,Witch_Doctor,Equipment
Coat of the Vodou Rover,Witch_Doctor,Equipment
Covers of the Foreteller's Oath,Witch_Doctor,Equipment
Egg of the Stormcrow,Witch_Doctor,Equipment
Feathered Mantle of the Arkturan Talon,Witch_Doctor,Equipment
Garb of the Outlandish Gourmet,Witch_Doctor,Equipment
Mantle of Mysteries,Witch_Doctor,Equipment
Mantle of Twilight's Rest,Witch_Doctor,Equipment
Rattlebite,Witch_Doctor,Equipment
Satchel of Morbific Provision,Witch_Doctor,Equipment
Satchel of the Devilish Conjurer,Witch_Doctor,Equipment
Shambling Trickster Ingredients,Witch_Doctor,Equipment
Spider Shoulders of Purple Nightmare,Witch_Doctor,Equipment
Basket of the Foreteller's Oath,Witch_Doctor,Equipment
Bonkers of Awaleb,Witch_Doctor,Equipment
Bonkers the Mad,Witch_Doctor,Equipment
Cauldron of the Outlandish Gourmet,Witch_Doctor,Equipment
Cloak of the Stormcrow,Witch_Doctor,Equipment
Cloak of Twilight's Rest,Witch_Doctor,Equipment
Drum of Tales,Witch_Doctor,Equipment
Garb of Morbific Provision,Witch_Doctor,Equipment
Grandfather's Ribs,Witch_Doctor,Equipment
Juju o' Wicked Badness,Witch_Doctor,Equipment
Ornaments of the Arkturan Talon,Witch_Doctor,Equipment
Parrot of the Vodou Rover,Witch_Doctor,Equipment
Shambling Trickster Ritual Bowl,Witch_Doctor,Equipment
Spider Drapes of Purple Nightmare,Witch_Doctor,Equipment
Vest of the Devilish Conjurer,Witch_Doctor,Equipment
Apron of the Outlandish Gourmet,Witch_Doctor,Equipment
Belt o' Wicked Badness,Witch_Doctor,Equipment
Belt of Morbific Provision,Witch_Doctor,Equipment
Belt of the Arkturan Talon,Witch_Doctor,Equipment
Belt of the Foreteller's Oath,Witch_Doctor,Equipment
Pantaloons of the Vodou Rover,Witch_Doctor,Equipment
Pants of the Devilish Conjurer,Witch_Doctor,Equipment
Sacral Apparel,Witch_Doctor,Equipment
Shambling Trickster Belt,Witch_Doctor,Equipment
Spider Belt of Purple Nightmare,Witch_Doctor,Equipment
Tail of the Stormcrow,Witch_Doctor,Equipment
Wrap of Twilight's Rest,Witch_Doctor,Equipment
Death Ward of the Foreteller's Oath,Witch_Doctor,Equipment
Padda'pon of Ribbi'tar,Witch_Doctor,Equipment
Servant of Morbific Provision,Witch_Doctor,Equipment
Taunt: Celebration of Death,Witch_Doctor,Equipment
Eyeball Fetish,Witch_Doctor,Gear
Devilish Conjurer Loading Screen,Witch_Doctor,Gear
Envisioning Witch Doctor Loading Screen,Witch_Doctor,Gear
Foreteller's Oath Loading Screen,Witch_Doctor,Gear
Loading Screen of the Arkturan Talon,Witch_Doctor,Gear
Mini Heroes Loading Screen,Witch_Doctor,Gear
Shambling Trickster Loading Screen,Witch_Doctor,Gear
Spoils of the Vodou Rover Loading Screen,Witch_Doctor,Gear
Twilight's Rest Loading Screen,Witch_Doctor,Gear
Righteous Thunderbolt,Zeus,Equipment
Helm of the Wartorn Heavens,Zeus,Equipment
Symbol of the King Restored,Zeus,Equipment
Tempest Helm of the Thundergod,Zeus,Equipment
Markings of the King Restored,Zeus,Equipment
Pauldrons of the Wartorn Heavens,Zeus,Equipment
Thundergod's Bare Chest,Zeus,Equipment
Belt of the King Restored,Zeus,Equipment
Belt of the Wartorn Heavens,Zeus,Equipment
Armlets of the King Restored,Zeus,Equipment
Bracers of the Wartorn Heavens,Zeus,Equipment
Tempest Revelation,Zeus,Equipment
Thundergod's Bare Arms,Zeus,Equipment
Taunt: Heavenly Jump!,Zeus,Equipment
Loading Screen of the King Restored,Zeus,Gear
Mini Heroes Loading Screen,Zeus,Gear
Wartorn Heavens Loading Screen,Zeus,Gear
Ancient Slithereen Basher,Slardar,Equipment
Deep Crystal Halberd,Slardar,Equipment
Deep Vault Guardian Trident,Slardar,Equipment
Golden Grasping Bludgeon,Slardar,Equipment
Grasping Bludgeon,Slardar,Equipment
Pike of the Sunken Gaoler,Slardar,Equipment
Reaper of the Deep,Slardar,Equipment
Sea Dragon's Basher,Slardar,Equipment
Smasher of the Sea Djinn,Slardar,Equipment
Trident of the Deep One,Slardar,Equipment
Trident of the Sea Stalker,Slardar,Equipment
Voulge of the Andestian Sentinel,Slardar,Equipment
Deep Vault Guardian Headfin,Slardar,Equipment
Head of the Sea Djinn,Slardar,Equipment
Headpiece of the Andestian Sentinel,Slardar,Equipment
Plates of the Sunken Gaoler,Slardar,Equipment
Sea Dragon's Crown,Slardar,Equipment
Deep Vault Guardian Spine,Slardar,Equipment
Fins of the Sea Djinn,Slardar,Equipment
Mantle of the Andestian Sentinel,Slardar,Equipment
Razor Spines of the Sunken Gaoler,Slardar,Equipment
Sea Dragon's Fins,Slardar,Equipment
Bracers of the Andestian Sentinel,Slardar,Equipment
Bracers of the Sea Djinn,Slardar,Equipment
Bracers of the Sunken Gaoler,Slardar,Equipment
Deep Vault Guardian Armplates,Slardar,Equipment
Sea Dragon's Armlet,Slardar,Equipment
Mini Heroes Loading Screen,Slardar,Gear
The Andestian Sentinel Loading Screen,Slardar,Gear
Eye of Twisted Maelstrom,Enigma,Equipment
Helm of Abyssal Vortex,Enigma,Equipment
Jewels of Endless Stars,Enigma,Equipment
Armor of Abyssal Vortex,Enigma,Equipment
Armor of Endless Stars,Enigma,Equipment
Armor of Twisted Maelstrom,Enigma,Equipment
Armguards of Twisted Maelstrom,Enigma,Equipment
Bracer of Abyssal Vortex,Enigma,Equipment
Bracers of Endless Stars,Enigma,Equipment
World Chasm Artifact,Enigma,Equipment
Eidelon of Twisted Maelstrom,Enigma,Equipment
Eidolons of Abyssal Vortex,Enigma,Equipment
Geodesic Eidolon,Enigma,Equipment
Servants of Endless Stars,Enigma,Equipment
Taunt: Enigmatic Style,Enigma,Equipment
Abyssal Vortex Loading Screen,Enigma,Gear
Exponent of the Endless Stars Loading Screen,Enigma,Gear
Mini Heroes Loading Screen,Enigma,Gear
Ancient Link,Faceless_Void,Equipment
Battlefury (Equipment),Faceless_Void,Equipment
Chronite Scepter,Faceless_Void,Equipment
Epoch,Faceless_Void,Equipment
Mace of Aeons,Faceless_Void,Equipment
Mace of the Endless Plane,Faceless_Void,Equipment
Mace of the Tentacular Timelord,Faceless_Void,Equipment
Mattock of Distortion,Faceless_Void,Equipment
Shard of the Rift,Faceless_Void,Equipment
Time-Mace of the Acolyte of Clasz,Faceless_Void,Equipment
Timebreaker,Faceless_Void,Equipment
Timestopper,Faceless_Void,Equipment
Viridus Crusher,Faceless_Void,Equipment
Voidhammer,Faceless_Void,Equipment
Ancient Crown,Faceless_Void,Equipment
Bindings of the Rift,Faceless_Void,Equipment
Headwraps of the Acolyte of Clasz,Faceless_Void,Equipment
Helm of Claszureme,Faceless_Void,Equipment
Helm of the Endless Plane,Faceless_Void,Equipment
Infectious Amalgamate,Faceless_Void,Equipment
Perceptions of the Eternal Mind,Faceless_Void,Equipment
Primal Form of the Tentacular Timelord,Faceless_Void,Equipment
Voidkeeper's Visage,Faceless_Void,Equipment
Ancient Knots,Faceless_Void,Equipment
Armor of the Tentacular Timelord,Faceless_Void,Equipment
Chronite Armor,Faceless_Void,Equipment
Jewel of Aeons,Faceless_Void,Equipment
Mantle of the Acolyte of Clasz,Faceless_Void,Equipment
Pauldron of the Endless Plane,Faceless_Void,Equipment
Shoulders of Claszureme,Faceless_Void,Equipment
Viridus Spine,Faceless_Void,Equipment
Ancient Cage,Faceless_Void,Equipment
Belt of Claszureme,Faceless_Void,Equipment
Belt of the Endless Plane,Faceless_Void,Equipment
Girdpiece of the Acolyte of Clasz,Faceless_Void,Equipment
Skirt of the Tentacular Timelord,Faceless_Void,Equipment
Viridus Leggings,Faceless_Void,Equipment
Ancient Bonds,Faceless_Void,Equipment
Bracers of Aeons,Faceless_Void,Equipment
Bracers of Aeons of the Crimson Witness,Faceless_Void,Equipment
Bracers of Claszureme,Faceless_Void,Equipment
Bracers of the Endless Plane,Faceless_Void,Equipment
Bracers of the Tentacular Timelord,Faceless_Void,Equipment
Chronite Bracers,Faceless_Void,Equipment
Gauntlets of the Acolyte of Clasz,Faceless_Void,Equipment
Viridus Claw,Faceless_Void,Equipment
Taunt: Timeless Classic,Faceless_Void,Equipment
Kinetic: Triumphant Timelord,Faceless_Void,Equipment
Faceless Rex,Faceless_Void,Gear
Ascendant Faceless Void Loading Screen,Faceless_Void,Gear
Elements of the Endless Plane Loading Screen,Faceless_Void,Gear
Mini Heroes Loading Screen,Faceless_Void,Gear
Club of the Igneous Stone,Tiny,Equipment
Crystal Dryad,Tiny,Equipment
Scarlet Oak,Tiny,Equipment
Elemental Ice Head,Tiny,Equipment
Head of the Igneous Stone,Tiny,Equipment
Summit of the Scarlet Quarry,Tiny,Equipment
Body of the Igneous Stone,Tiny,Equipment
Elemental Ice Body,Tiny,Equipment
Slab of the Scarlet Quarry,Tiny,Equipment
Elemental Ice Right Arm,Tiny,Equipment
Fist of the Scarlet Quarry,Tiny,Equipment
Right Arm of the Igneous Stone,Tiny,Equipment
Elemental Ice Left Arm,Tiny,Equipment
Garnet of the Scarlet Quarry,Tiny,Equipment
Left Arm of the Igneous Stone,Tiny,Equipment
Tremor,Tiny,Gear
Mini Heroes Loading Screen,Tiny,Gear
Crown of the Fervid Monarch,Viper,Equipment
Crown of the Netherfrost,Viper,Equipment
Malefic Drake's Hood,Viper,Equipment
Malefic Drake's Hood of the Crimson Witness,Viper,Equipment
Form of the Fervid Monarch,Viper,Equipment
Scales of the Netherfrost,Viper,Equipment
Malefic Drake's Strike,Viper,Equipment
Tail of the Fervid Monarch,Viper,Equipment
Tail of the Netherfrost,Viper,Equipment
Mini Heroes Loading Screen,Viper,Gear
Acidic Tentacles of the Hydra,Venomancer,Equipment
Appendages of the Molokau Stalker,Venomancer,Equipment
Spitters of the Ferocious Toxicant,Venomancer,Equipment
Spitters of the Virulent Krait,Venomancer,Equipment
Stingers of the Fatal Bloom,Venomancer,Equipment
Venomous Deathbringer Stingers,Venomancer,Equipment
Acidic Mandible of the Hydra,Venomancer,Equipment
Crest of the Fatal Bloom,Venomancer,Equipment
Crest of the Ferocious Toxicant,Venomancer,Equipment
Cult of Aktok,Venomancer,Equipment
Head of the Molokau Stalker,Venomancer,Equipment
Jaws of the Virulent Krait,Venomancer,Equipment
Venomous Deathbringer Head,Venomancer,Equipment
Acidic Wings of the Hydra,Venomancer,Equipment
Plates of the Molokau Stalker,Venomancer,Equipment
